Unnamed: 0,Txn Hash,Method,Unnamed: 3,From,Unnamed: 5,To,Value,Token
,0x40c47e19dcc6bb76bd101dfbc7778a78592ca611d036ca89f523096f0cfd93b5,Transfer,16 secs ago,Binance 14,,0xe3792A...41631090,8798.55,Mask Network (MASK)
,0x87c787859c807abf4eb832edb336b0398da89d8664e002d5eab74e38388b0d89,Swap,16 secs ago,0x74de5d...94016631,,Uniswap V3: PLU,10.4,Pluton (PLU)
,0x87c787859c807abf4eb832edb336b0398da89d8664e002d5eab74e38388b0d89,Swap,16 secs ago,Uniswap V3: PLU,,1inch v5: Aggregation Router,0.022222903,Wrapped Ethe... (WETH)
,0x87c787859c807abf4eb832edb336b0398da89d8664e002d5eab74e38388b0d89,Swap,16 secs ago,0x140543...E8db775e,,0x74de5d...94016631,10.4,Pluton (PLU)
,0xb298f8651b516a81da0b2c271f018671cd1aff6a1417d7062e00b4e6ea179dff,Transfer,16 secs ago,0x49bce7...b07C8Fea,,0xc2A4d6...586f2c96,240150770818.0677,Congress Coi... (CONG)
,0xc08d8e9d1256f59cd67945177214befeed0d040cb6bcd9afd11e6a05d0d420f1,Receive Message,16 secs ago,Null: 0x000...000,,0xb5245B...cA6a15fb,41794.487423,USDC (USDC)
,0xc736e50278559d1683b97547dc2fc80b2a52fdec7703f208379ec9a18c233666,Transfer,16 secs ago,0x750076...E0a82837,,0xfF27Bb...A36Dffb8,22448.911900035,Data Lake To... (LAKE)
,0xab697b7874b1d53c1f70a000210053c900ade9cc33e4eab805a0e0e824c7b5be,Claim Mint Rewar...,16 secs ago,Null: 0x000...000,,0xC34B9c...A8d8D102,32122188.0,XEN Crypto (XEN)
,0x21d785d199e057fe560cfbc4cebb9f540a6b974e4fd68b1d7a0055b88feb6c5f,Transfer,16 secs ago,og69420.eth,,0x5a9802...D255854F,3500.0,USDC (USDC)
,0x28fcf85b0d0308b8d27ec3f4706fbcc1537f4b845859ed67649f04d26fc25881,Swap Exact Token...,16 secs ago,Uniswap V2: MLX 5,,0x2Ec705...0661ADd1,0.145664077,Wrapped Ethe... (WETH)
,0x28fcf85b0d0308b8d27ec3f4706fbcc1537f4b845859ed67649f04d26fc25881,Swap Exact Token...,16 secs ago,0xEA0717...edD4B9cD,,Uniswap V2: MLX 5,13473421.14867276,MLX Chat (MLX)
,0xc55eb9ec768a5abf269f7ce68b0f8f65de77b647beb2e9cfb001fca384d1ff0e,Swap,16 secs ago,Uniswap V2: SHIDO 21,,0x1a61aC...f8C37ADa,816.529760201,Shido (SHIDO)
,0xc55eb9ec768a5abf269f7ce68b0f8f65de77b647beb2e9cfb001fca384d1ff0e,Swap,16 secs ago,0xa9C0cd...979BC59a,,Uniswap V2: SHIDO 21,0.00398,Wrapped Ethe... (WETH)
,0x50f280b8e7923f840887483182f6e55426bc024e9dd6989e3639fe31dde56e84,Swap Exact ETH F...,16 secs ago,Uniswap V2: CAR2028,,0xac96Bf...FF07863b,2820721.883273711,Apple Car 20... (CAR202...)
,0x50f280b8e7923f840887483182f6e55426bc024e9dd6989e3639fe31dde56e84,Swap Exact ETH F...,16 secs ago,Uniswap V2: Router 2,,Uniswap V2: CAR2028,0.156,Wrapped Ethe... (WETH)
,0x140be5328e513388ccce03182220720ff33d9994b8ada369bdc29040237438be,Stake,16 secs ago,Null: 0x000...000,,0x46f7F0...F8f053F3,0.006126323,Coinbase Wal... (cbwsET...)
,0x140be5328e513388ccce03182220720ff33d9994b8ada369bdc29040237438be,Stake,16 secs ago,Null: 0x000...000,,0x30a4aa...c94A549F,0.006117948,Coinbase Clo... (VPS)
,0xcee1a81c79fc17a758481d7a9fb378f3e2029ab88bd49ea935605e6404dc1589,Initiate,16 secs ago,0x9DD9C2...85749635,,0xA5E38d...2a9A0afD,0.1008955,Wrapped BTC (WBTC)
,0xac39634ca5bb8f7ecbb7176aeaca7c9634cae9cefc3b573b89f24a567b48f199,0x415565b0,16 secs ago,0x: Exchange Proxy Flash Wallet,,0x16C42a...87b6f4cc,104003140.23084372,Jesus Coin (JESUS)
,0xac39634ca5bb8f7ecbb7176aeaca7c9634cae9cefc3b573b89f24a567b48f199,0x415565b0,16 secs ago,0x: Exchange Proxy Flash Wallet,,0xaD01C2...24c8fCe5,100980.997591582,Jesus Coin (JESUS)
,0xac39634ca5bb8f7ecbb7176aeaca7c9634cae9cefc3b573b89f24a567b48f199,0x415565b0,16 secs ago,Uniswap V2: JESUS 15,,0x: Exchange Proxy Flash Wallet,104104121.22843532,Jesus Coin (JESUS)
,0xac39634ca5bb8f7ecbb7176aeaca7c9634cae9cefc3b573b89f24a567b48f199,0x415565b0,16 secs ago,0x: Exchange Proxy Flash Wallet,,Uniswap V2: JESUS 15,0.008649416,Wrapped Ethe... (WETH)
,0x2ed55584c737aa1659b06f4b0d319462a815822607e851bccf506533b37159a3,Sell Token For T...,16 secs ago,0x78fb6f...6803E2B2,,Uniswap V3: MATIC-stMATIC,54.722401505,Staked MATIC (stMATI...)
,0x2ed55584c737aa1659b06f4b0d319462a815822607e851bccf506533b37159a3,Sell Token For T...,16 secs ago,Uniswap V3: MATIC-stMATIC,,0x78fb6f...6803E2B2,58.971967663,Matic Token (MATIC)
,0x35d635392e5f0dc06aede05d9580b8c40acad60c6f146422fe48b1fb97c87bd5,Request Withdraw...,16 secs ago,0xCcCa12...343F1aC4,,Lido: Withdrawal Queue,0.201057181,stETH (stETH)
,0x71499e5a00c4299c7e675ddec1cfd4e0b214ca3b7fcd85db696de49d2c27c8c3,Outbound Transfe...,16 secs ago,vxpremia.eth,,Arbitrum One: Wrapped Ether Gateway,5.5,Wrapped Ethe... (WETH)
,0x99dd17f3c8e0133d71ee5e6eeff8703cda3ccb2027edeca80e4f7aa381fdcd90,Compound,16 secs ago,Null: 0x000...000,,0x3aA69F...092B255b,696.39567716,Staked Scram... (stSLP)
,0x99dd17f3c8e0133d71ee5e6eeff8703cda3ccb2027edeca80e4f7aa381fdcd90,Compound,16 secs ago,0x3aA69F...092B255b,,0x73969C...8bfc32FD,696.39567716,Uniswap V2 (UNI-V2)
,0x99dd17f3c8e0133d71ee5e6eeff8703cda3ccb2027edeca80e4f7aa381fdcd90,Compound,16 secs ago,Null: 0x000...000,,0x3aA69F...092B255b,696.39567716,Uniswap V2 (UNI-V2)
,0x99dd17f3c8e0133d71ee5e6eeff8703cda3ccb2027edeca80e4f7aa381fdcd90,Compound,16 secs ago,Uniswap V2: Router 2,,Uniswap V2: SCRAMBLE,0.018431074,Wrapped Ethe... (WETH)
,0x99dd17f3c8e0133d71ee5e6eeff8703cda3ccb2027edeca80e4f7aa381fdcd90,Compound,16 secs ago,0x73969C...8bfc32FD,,Uniswap V2: SCRAMBLE,30870346740738.234,Scramble Fin... (SCRAMB...)
,0x99dd17f3c8e0133d71ee5e6eeff8703cda3ccb2027edeca80e4f7aa381fdcd90,Compound,16 secs ago,Uniswap V2: SCRAMBLE,,0x73969C...8bfc32FD,30870346740738.234,Scramble Fin... (SCRAMB...)
,0x99dd17f3c8e0133d71ee5e6eeff8703cda3ccb2027edeca80e4f7aa381fdcd90,Compound,16 secs ago,Uniswap V2: Router 2,,Uniswap V2: SCRAMBLE,0.018476901,Wrapped Ethe... (WETH)
,0x529d161d12451a502536a42946a90454fa34d87555e61229ea50bacc971fd2e1,Deposit,16 secs ago,Null: 0x000...000,,0x38Ed5B...e7D11781,0.249999999,ether.fi ETH (eETH)
,0x5a35d6c2d502ea94c2bea56d54b7594262ecbb1d3201b066075fd9c3fb16df14,Match Advanced O...,16 secs ago,0x181f99...6c199Dbd,,nftlawgroup.eth,0.093625,Wrapped Ethe... (WETH)
,0x5a35d6c2d502ea94c2bea56d54b7594262ecbb1d3201b066075fd9c3fb16df14,Match Advanced O...,16 secs ago,0x181f99...6c199Dbd,,0x9e2FF2...82231B99,4.28e-05,Wrapped Ethe... (WETH)
,0x5a35d6c2d502ea94c2bea56d54b7594262ecbb1d3201b066075fd9c3fb16df14,Match Advanced O...,16 secs ago,0x181f99...6c199Dbd,,0x7Fc106...d9A9aEA1,0.0077682,Wrapped Ethe... (WETH)
,0x5a35d6c2d502ea94c2bea56d54b7594262ecbb1d3201b066075fd9c3fb16df14,Match Advanced O...,16 secs ago,0x181f99...6c199Dbd,,0xa055c5...2aF1A77a,0.0014445,Wrapped Ethe... (WETH)
,0x5a35d6c2d502ea94c2bea56d54b7594262ecbb1d3201b066075fd9c3fb16df14,Match Advanced O...,16 secs ago,0x181f99...6c199Dbd,,0x9370A3...e058eC1B,0.0014445,Wrapped Ethe... (WETH)
,0x5a35d6c2d502ea94c2bea56d54b7594262ecbb1d3201b066075fd9c3fb16df14,Match Advanced O...,16 secs ago,0x181f99...6c199Dbd,,OpenSea: Fees 3,0.002675,Wrapped Ethe... (WETH)
,0x946ac1521eab4389bd8f6411f1dca2406f2bb623dc26a005cc3d77f1f1552194,Execute,16 secs ago,0x11AaCf...0d70d697,,Uniswap V3: PABLO,0.146,Wrapped Ethe... (WETH)
,0x946ac1521eab4389bd8f6411f1dca2406f2bb623dc26a005cc3d77f1f1552194,Execute,16 secs ago,Uniswap V3: PABLO,,0x11AaCf...0d70d697,1067.988036192,PABLO DEFI (PABLO)
,0x13582e3b49416b85ef78b1e840a150978a42a16cc051a6e7fc01ec634f69710b,Borrow,16 secs ago,0xa69833...708Df0dd,,0x458DbF...D23CA0Cb,3.61,Blur Pool (Blur P...)
,0x62d54b80038897223e0b2a892ad9ea98f65faff40e810a558a2aebd508121774,Borrow,16 secs ago,0xa69833...708Df0dd,,0x458DbF...D23CA0Cb,3.61,Blur Pool (Blur P...)
,0x65f82100a7db3043943ab2b1c0fbfbde67e738ee0feae1a858b310b8da9299fb,Mint,16 secs ago,0x2F65B8...8210AC27,,Uniswap V3: BSSB 2,6588.541807776,BSSB (BSSB)
,0x39314ebef4523b8cd01d0b8e4f8e443f8a1bb4fbd16adcbf25f75cdd7983d9ff,Relay Tokens,16 secs ago,0x67c504...44106360,,PulseChain: Omnibridge Proxy,12111.9145024,HEX (HEX)
,0x4d91352fe63769a445c3c5b354859395c845daa556f4f5e78842488de6935ce9,Execute,16 secs ago,Uniswap: Universal Router,,Uniswap V3: PNDC 2,0.2,Wrapped Ethe... (WETH)
,0x4d91352fe63769a445c3c5b354859395c845daa556f4f5e78842488de6935ce9,Execute,16 secs ago,Uniswap V3: PNDC 2,,psalm2205.eth,615269371.8232743,Pond Coin (PNDC)
,0xf5b96472aeda6ffea69dea518894e39a10e3fd976fdab52b1a65e0fde0658ec2,Take Bid,16 secs ago,Blur.io: Marketplace 3,,0xBeeC10...91AB4841,0.1,Blur Pool (Blur P...)
,0xf5b96472aeda6ffea69dea518894e39a10e3fd976fdab52b1a65e0fde0658ec2,Take Bid,16 secs ago,0x7A710c...757BfEe4,,Blur.io: Marketplace 3,0.05,Blur Pool (Blur P...)
